Column1;Column2
GINSENG BRASILEIRO HERBARIUM;Pfaffia paniculata
Isopto Carpine;Pilocarpina
VISKEN;Pindolol
Pioglit;Pioglitazona
PIPORTIL;Pipotiazina
Nootron;Piracetam
ARELIX;Piretanida
Esbriet;Pirfenidona
Neuri - B6;Piridoxina
FANSIDAR;Pirimetamina + Sulfadoxina
Ciclalgin;Piroxicam
Sandomigran;Pizotifeno
Polixil B;Polimixina B
Iclusig;Ponatinibe
Curosurf;Poractanto alfa
PRAVACOL;Pravastatina Sódica
Predmicin;Prednisolona + Gentamicina
Promestrieno;Promestrieno
Propilracil;Propiltiouracila
Propionato de Clobetasol;Propionato de Clobetasol
FLUTINOL;Propionato de Fluticasona
Protamina;Protamina
Resolor;Prucaloprida
TRIFEDRIN;Pseudoefedrina + Triprolidina
ACCUPRIL;Quinapril
QUITOSANA;Quitosana
TOMUDEX;Raltitrexede
;Ramelteon
Rozerem;Ramelteona
Ranelato de Estrôncio;Ranelato de Estrôncio
Antak;Ranitidina
Stivarga;Regorafenibe
Veklury;Remdesivir
Ultiva;Remifentanila
Posprand;Repaglinida
;Rhamnus purshiana
VIRAZOLE;Ribavirina
Kisqali;Ribociclibe
Rifan Spray;Rifamicina
Rifamicina SV Sódica;Rifamicina SV Sódica
RILUTEK;Riluzol
Acomplia;Rimonabanto
Actonel Chronos;Risedronato sódico
Maxalt;Rizatriptana
Rocuron;Rocurônio
Daxas;Roflumilaste
Nplate;Romiplostim
Naropin;Ropivacaína
Avandia;Rosiglitazona
ROXITROM;Roxitromicina
Jakavi;Ruxolitinibe
Repoflor;Saccharomyces boulardii
LEVEDURA DE CERVEJA;Saccharomyces cerevisiae
Xadago;Safinamida
INVIRASE;Saquinavir
Kanuma;Sebelipase alfa
Secnizol;Secnidazol
Uptravi;Selexipague
Koselugo;Selumetinibe
GYNO-ZALAIN;Sertaconazol
SEVORANE;Sevoflurano
REDUCTIL;Sibutramina
Silimalon;Silimarina
Stilamin;Somatostatina
;Somatropina
Succinato de Sumatriptana;Succinato de Sumatriptana
Sufenta;Sufentanila
Bridion;Sugamadex
Sugamadex Sódico;Sugamadex Sódico
Arcalion;Sulbutiamina
FURP-Sulfadiazina;Sulfadiazina
Sulfadiazina de Prata;Sulfadiazina de Prata
Qiftrim;Sulfametoxazol + Trimetoprima
Foliron;Sulfato Ferroso + Ácido Fólico
Sulfato de Glicosamina;Sulfato de Glicosamina
Sulfato de Neomicina;Sulfato de Neomicina
Sulfato de Polimixina B;Sulfato de Polimixina B
SULFATO QUININA FARMOQUIMICA 500 mg.;Sulfato de Quinina
Sulfato de Vincristina;Sulfato de Vincristina
Farmanguinhos Sulfato Ferroso;Sulfato ferroso
Sutriptan;Sumatriptana
Glypressin;TERLIPRESSINA
Secotex;Tansulosina
Sivextro;Tedizolida
UFT;Tegafur + Uracila
KETEK;Telitromicina
TEMODAL;Temozolomida
Metalyse;Tenecteplase
VUMON;Teniposídeo
Aubagio;Teriflunomida
TETREX;Tetraciclina
Thiabena;Tiabendazol
THIAMINOSE;Tiamina
Stablon;Tianeptina
TIAPRIDAL;Tiaprida
Tygacil;Tigeciclina
Timoptol;Timolol
Tiocolchicosídeo;Tiocolchicosídeo
Thiopentax;Tiopental
Melleril;Tioridazina
TASMAR;Tolcapona
Detrusitol LA;Tolterodina
Hycamtin;Topotecana
TOXOIDE DIFTERICO IVB;Toxóide Diftérico
TOXOIDE DIFTERICO-TETANICO DIVB;Toxóide Diftérico + Toxóide Tetânico
TOXOIDE TETANICO ADSORVIDO;Toxóide Tetânico
Mekinist;Trametinibe
GOPTEN;Trandolapril
Kadcyla;Trastuzumabe entansina
Vesanoid;Tretinoína
Biancort;Triancinolona
Omcilon-A Orabase;Triancinolona acetonida
TRIEXIDYL 5MG-20 blist. 10cps.;Triexifenidil
Stelazine;Trifluoperazina
Dicloridrato de Trimetazidina;Trimetazidina
Trisenox;Trióxido de arsênio
Mydriacyl;Tropicamida
Zydena;Udenafila
Rinvoq;Upadacitinibe
Ureadin;Ureia
Dengvaxia;Vacina contra dengue
HEBERBIOVAC HB;Vacina hepatite B
Bexsero;Vacina meningocócica B
Valtrex;Valaciclovir
;Valeriana officinalis
Valcyte;Valganciclovir
Caprelsa;Vandetanibe
Zelboraf;Vemurafenibe
Venclexta;Venetoclax
Mepsevii;Vestronidase alfa
Velban;Vimblastina
VINCRISTINA 1 mg IV;Vincristina
NORELBIN;Vinorelbina
Erivedge;Vismodegibe
AROVIT;Vitamina A
;Vitamina E
Biofortônico;Vitaminas + Minerais
Comple B;Vitaminas do Complexo B
Voxzogo;Vosoritida
Vacina Influenza Trivalente;Vírus da Influenza inativado
Brukinsa;Zanubrutinibe
Clopixol;Zuclopentixol
;Ácido Acetilsalicílico
Excedrin;Ácido Acetilsalicílico + Cafeína + Paracetamol
ALKA-SELTZER;Ácido Acetilsalicílico + Ácido Cítrico + Bicarbonato de Sódio
Energrip C;Ácido Ascórbico
TIMENTIN;Ácido Clavulânico + Ticarcilina
Ácido Fusídico;Ácido Fusídico
;Ácido Mefenâmico
Belkyra;Ácido deoxicólico
;Ácido fólico
Dotarem;Ácido gadotérico
PIPRAM;Ácido pipemídico
;Ácido valproico
Zometa;Ácido zoledrônico
Lipofundin MCT/LCT 20%;Óleo de soja + Triglicerídeos de cadeia média
ÓLEO DE PEIXE;Ômega-3
